Importance,Level,Job Zone,Code,Occupation,OccupationCategory
47,43,1-2,31-9093.00,Medical Equipment Preparers,[Kesehatan] Kedokteran
47,43,5,19-1042.00,"Medical Scientists, Except Epidemiologists",[Kesehatan] Laboratorium
47,43,3,49-9063.00,Musical Instrument Repairers and Tuners,[Teknik] Teknik Mesin
47,43,4,15-1244.00,Network and Computer Systems Administrators,[Teknologi Informasi] Informatika / Ilmu Komputer
47,43,3,29-2033.00,Nuclear Medicine Technologists,[Kesehatan] Kedokteran
47,43,4,17-2199.07,Photonics Engineers,[Teknik] Teknik Industri
47,43,5,29-1081.00,Podiatrists,[Kesehatan] Kedokteran
47,43,1-2,51-4052.00,"Pourers and Casters, Metal",[Teknik] Teknik Industri
47,43,3,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",[Teknik] Teknik Mesin
47,43,5,29-1229.06,Sports Medicine Physicians,[Kesehatan] Kedokteran
47,43,3,17-3031.00,Surveying and Mapping Technicians,[Teknik] Teknik Industri
47,41,1-2,53-1041.00,Aircraft Cargo Handling Supervisors,[Keselamatan & Transportasi] Transportasi / Logistik
47,41,5,17-1011.00,"Architects, Except Landscape and Naval",[Teknik] Teknik Sipil
47,41,1-2,53-6031.00,Automotive and Watercraft Service Attendants,[Keselamatan & Transportasi] Transportasi / Logistik
47,41,5,19-1021.00,Biochemists and Biophysicists,[Kesehatan] Laboratorium
47,41,1-2,47-2021.00,Brickmasons and Blockmasons,[Teknik] Teknik Sipil
47,41,4,29-1141.03,Critical Care Nurses,[Kesehatan] Keperawatan
47,41,3,31-9091.00,Dental Assistants,[Kesehatan] Kedokteran
47,41,5,19-2041.02,Environmental Restoration Planners,[Kesehatan] Laboratorium
47,41,4,19-4042.00,"Environmental Science and Protection Technicians, Including Health",[Kesehatan] Laboratorium
47,41,5,29-1215.00,Family Medicine Physicians,[Kesehatan] Kedokteran
47,41,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",[Teknik] Teknik Sipil
47,41,4,19-4043.00,"Geological Technicians, Except Hydrologic Technicians",[Kesehatan] Laboratorium
47,41,3,47-4041.00,Hazardous Materials Removal Workers,[Teknik] Teknik Mesin
47,41,1-2,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",[Teknik] Teknik Mesin
47,41,4,11-2021.00,Marketing Managers,[Bisnis & Administrasi] Bisnis / Manajemen
47,41,3,31-9092.00,Medical Assistants,[Kesehatan] Kedokteran
47,41,1-2,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",[Teknik] Teknik Industri
47,41,3,19-5012.00,Occupational Health and Safety Technicians,[Kesehatan] Laboratorium
47,41,3,29-2057.00,Ophthalmic Medical Technicians,[Kesehatan] Kedokteran
47,41,4,19-1031.03,Park Naturalists,[Kesehatan] Laboratorium
47,41,3,51-4062.00,"Patternmakers, Metal and Plastic",[Teknik] Teknik Industri
47,41,1-2,51-8013.00,Power Plant Operators,[Teknik] Teknik Industri
47,41,3,19-4099.01,Quality Control Analysts,[Kesehatan] Laboratorium
47,41,3,29-1126.00,Respiratory Therapists,[Kesehatan] Kedokteran
47,41,1-2,47-5051.00,"Rock Splitters, Quarry",[Teknik] Teknik Mesin
47,41,1-2,51-9141.00,Semiconductor Processing Technicians,[Teknik] Teknik Elektro
47,41,5,27-1027.00,Set and Exhibit Designers,[Seni & Kreatif] Seni Rupa
47,41,3,39-5094.00,Skincare Specialists,[Seni & Kreatif] Make Up Artist
47,41,5,19-1013.00,Soil and Plant Scientists,[Kesehatan] Laboratorium
47,41,1-2,47-2221.00,Structural Iron and Steel Workers,[Teknik] Teknik Mesin
47,41,4,17-1022.00,Surveyors,[Teknik] Teknik Industri
47,41,1-2,51-6052.00,"Tailors, Dressmakers, and Custom Sewers",[Teknik] Teknik Industri
47,41,1-2,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders",[Teknik] Teknik Industri
47,41,1-2,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",[Teknik] Teknik Industri
47,41,5,29-1131.00,Veterinarians,[Kesehatan] Kedokteran
47,41,3,29-2056.00,Veterinary Technologists and Technicians,[Kesehatan] Kedokteran
47,39,4,11-2011.00,Advertising and Promotions Managers,[Bisnis & Administrasi] Bisnis / Manajemen
47,39,5,19-3091.00,Anthropologists and Archeologists,[Kesehatan] Laboratorium
47,39,1-2,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",[Teknik] Teknik Industri
47,39,1-2,33-1091.00,First-Line Supervisors of Security Workers,[Keselamatan & Transportasi] Kepolisian
47,39,1-2,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",[Teknik] Teknik Industri
47,39,3,29-2012.01,Histology Technicians,[Kesehatan] Kedokteran
47,39,5,29-1217.00,Neurologists,[Kesehatan] Kedokteran
47,39,3,47-2152.00,"Plumbers, Pipefitters, and Steamfitters",[Teknik] Teknik Sipil
47,39,3,29-1124.00,Radiation Therapists,[Kesehatan] Kedokteran
47,39,1-2,53-7081.00,Refuse and Recyclable Material Collectors,[Keselamatan & Transportasi] Transportasi / Logistik
47,39,1-2,47-5012.00,"Rotary Drill Operators, Oil and Gas",[Teknik] Teknik Mesin
47,39,1-2,47-2022.00,Stonemasons,[Teknik] Teknik Sipil
47,37,1-2,45-2011.00,Agricultural Inspectors,[Kesehatan] Laboratorium
47,37,1-2,47-2041.00,Carpet Installers,[Teknik] Teknik Mesin
47,37,1-2,47-5044.00,"Loading and Moving Machine Operators, Underground Mining",[Teknik] Teknik Mesin
47,37,1-2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,[Teknik] Teknik Mesin
47,37,1-2,53-7062.04,Recycling and Reclamation Workers,[Keselamatan & Transportasi] Transportasi / Logistik
47,37,1-2,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,[Teknik] Teknik Mesin
47,37,1-2,51-4194.00,"Tool Grinders, Filers, and Sharpeners",[Teknik] Teknik Industri
47,37,1-2,33-9093.00,Transportation Security Screeners,[Keselamatan & Transportasi] Kepolisian
47,36,1-2,53-3052.00,"Bus Drivers, Transit and Intercity",[Keselamatan & Transportasi] Transportasi / Logistik
47,36,1-2,53-6021.00,Parking Attendants,[Keselamatan & Transportasi] Transportasi / Logistik
47,34,3,29-2031.00,Cardiovascular Technologists and Technicians,[Kesehatan] Kedokteran
47,34,1-2,53-7071.00,Gas Compressor and Gas Pumping Station Operators,[Keselamatan & Transportasi] Transportasi / Logistik
47,34,1-2,53-7041.00,Hoist and Winch Operators,[Keselamatan & Transportasi] Transportasi / Logistik
47,34,1-2,33-3041.00,Parking Enforcement Workers,[Keselamatan & Transportasi] Kepolisian
47,34,1-2,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",[Teknik] Teknik Sipil
47,32,1-2,33-9032.00,Security Guards,[Keselamatan & Transportasi] Kepolisian
44,46,3,49-9041.00,Industrial Machinery Mechanics,[Teknik] Teknik Mesin
44,46,1-2,49-9052.00,Telecommunications Line Installers and Repairers,[Teknik] Teknik Elektro
44,45,1-2,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",[Teknik] Teknik Sipil
44,45,4,17-2199.11,Solar Energy Systems Engineers,[Teknik] Teknik Industri
44,43,4,17-2031.00,Bioengineers and Biomedical Engineers,[Teknik] Teknik Industri
44,43,5,29-1141.04,Clinical Nurse Specialists,[Kesehatan] Keperawatan
44,43,1-2,39-3092.00,Costume Attendants,[Seni & Kreatif] Seni Rupa
44,43,4,17-2071.00,Electrical Engineers,[Teknik] Teknik Elektro
44,43,4,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",[Bisnis & Administrasi] Bisnis / Manajemen
44,43,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",[Teknik] Teknik Mesin
44,43,3,29-2035.00,Magnetic Resonance Imaging Technologists,[Kesehatan] Kedokteran
44,43,4,19-5011.00,Occupational Health and Safety Specialists,[Kesehatan] Laboratorium
44,43,4,19-1031.02,Range Managers,[Kesehatan] Laboratorium
44,43,4,19-4099.03,Remote Sensing Technicians,[Kesehatan] Laboratorium
44,43,3,15-1241.01,Telecommunications Engineering Specialists,[Teknologi Informasi] Informatika / Ilmu Komputer
44,41,3,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,[Teknik] Teknik Mesin
44,41,4,17-2021.00,Agricultural Engineers,[Teknik] Teknik Industri
44,41,5,29-1211.00,Anesthesiologists,[Kesehatan] Kedokteran
44,41,4,19-2021.00,Atmospheric and Space Scientists,[Kesehatan] Laboratorium
44,41,4,11-3051.04,Biomass Power Plant Managers,[Bisnis & Administrasi] Bisnis / Manajemen
44,41,1-2,47-2011.00,Boilermakers,[Keselamatan & Transportasi] Kelautan
44,41,1-2,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",[Teknik] Teknik Mesin
44,41,4,15-1241.00,Computer Network Architects,[Teknologi Informasi] Informatika / Ilmu Komputer
44,41,1-2,47-2061.00,Construction Laborers,[Teknik] Teknik Sipil
44,41,1-2,31-9099.02,Endoscopy Technicians,[Kesehatan] Kedokteran
44,41,4,17-2199.03,"Energy Engineers, Except Wind and Solar",[Teknik] Teknik Industri
44,41,1-2,51-2031.00,Engine and Other Machine Assemblers,[Teknik] Teknik Industri
44,41,4,13-1041.01,Environmental Compliance Inspectors,[Bisnis & Administrasi] Bisnis / Manajemen
44,41,4,17-2141.01,Fuel Cell Engineers,[Teknik] Teknik Industri
44,41,1-2,47-2121.00,Glaziers,[Teknik] Teknik Sipil
44,41,5,29-1229.02,Hospitalists,[Kesehatan] Kedokteran
44,41,4,11-3051.00,Industrial Production Managers,[Bisnis & Administrasi] Bisnis / Manajemen
44,41,3,29-2061.00,Licensed Practical and Licensed Vocational Nurses,[Kesehatan] Keperawatan
44,41,4,17-2141.00,Mechanical Engineers,[Teknik] Teknik Mesin
44,41,3,49-3051.00,Motorboat Mechanics and Service Technicians,[Teknik] Teknik Mesin
44,41,5,17-2199.09,Nanosystems Engineers,[Teknik] Teknik Industri
44,41,5,29-1161.00,Nurse Midwives,[Kesehatan] Keperawatan
44,41,1-2,41-2022.00,Parts Salespersons,[Bisnis & Administrasi] Bisnis / Manajemen
44,41,3,51-7032.00,"Patternmakers, Wood",[Teknik] Teknik Industri
44,41,3,29-2052.00,Pharmacy Technicians,[Kesehatan] Farmasi
44,41,5,19-2012.00,Physicists,[Kesehatan] Laboratorium
44,41,3,33-3051.00,Police and Sheriff's Patrol Officers,[Keselamatan & Transportasi] Kepolisian
44,41,1-2,51-5113.00,Print Binding and Finishing Workers,[Teknik] Teknik Industri
44,41,4,29-1141.00,Registered Nurses,[Kesehatan] Keperawatan
44,41,1-2,51-6041.00,Shoe and Leather Workers and Repairers,[Teknik] Teknik Industri
44,41,3,51-8021.00,Stationary Engineers and Boiler Operators,[Keselamatan & Transportasi] Kelautan
44,41,1-2,53-7121.00,"Tank Car, Truck, and Ship Loaders",[Keselamatan & Transportasi] Kelautan
44,41,4,19-1023.00,Zoologists and Wildlife Biologists,[Kesehatan] Laboratorium
44,39,3,53-2022.00,Airfield Operations Specialists,[Keselamatan & Transportasi] Transportasi / Logistik
44,39,3,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",[Teknik] Teknik Mesin
44,39,1-2,53-7011.00,Conveyor Operators and Tenders,[Keselamatan & Transportasi] Transportasi / Logistik
44,39,3,33-3051.04,Customs and Border Protection Officers,[Keselamatan & Transportasi] Kepolisian
44,39,3,29-2051.00,Dietetic Technicians,[Kesehatan] Kedokteran
44,39,3,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,[Teknik] Teknik Sipil
44,39,4,33-3031.00,Fish and Game Wardens,[Keselamatan & Transportasi] Kepolisian
44,39,1-2,45-4011.00,Forest and Conservation Workers,[Teknik] Teknik Industri
44,39,4,19-1032.00,Foresters,[Kesehatan] Laboratorium
44,39,1-2,11-9071.00,Gambling Managers,[Bisnis & Administrasi] Bisnis / Manajemen
44,39,4,19-3092.00,Geographers,[Kesehatan] Laboratorium
44,39,4,17-2112.00,Industrial Engineers,[Teknik] Teknik Industri
44,39,1-2,49-9094.00,Locksmiths and Safe Repairers,[Teknik] Teknik Mesin
44,39,4,19-2032.00,Materials Scientists,[Kesehatan] Laboratorium
44,39,1-2,43-5041.00,"Meter Readers, Utilities",[Bisnis & Administrasi] Administrasi
44,39,5,29-9099.01,Midwives,[Kesehatan] Kedokteran
44,39,1-2,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",[Teknik] Teknik Industri
44,39,5,29-1299.01,Naturopathic Physicians,[Kesehatan] Kedokteran
44,39,3,19-4012.01,Precision Agriculture Technicians,[Kesehatan] Laboratorium
44,39,1-2,53-4031.00,Railroad Conductors and Yardmasters,[Keselamatan & Transportasi] Transportasi / Logistik
44,39,3,53-6041.00,Traffic Technicians,[Keselamatan & Transportasi] Transportasi / Logistik
44,39,3,33-3052.00,Transit and Railroad Police,[Keselamatan & Transportasi] Kepolisian
44,39,5,19-3051.00,Urban and Regional Planners,[Kesehatan] Laboratorium
44,39,4,11-9121.02,Water Resource Specialists,[Bisnis & Administrasi] Bisnis / Manajemen
44,37,1-2,51-9191.00,Adhesive Bonding Machine Operators and Tenders,[Teknik] Teknik Industri
44,37,4,19-1031.00,Conservation Scientists,[Kesehatan] Laboratorium
44,37,1-2,35-2012.00,"Cooks, Institution and Cafeteria",[Seni & Kreatif] Tata Boga
44,37,1-2,35-2015.00,"Cooks, Short Order",[Seni & Kreatif] Tata Boga
44,37,1-2,51-9194.00,Etchers and Engravers,[Teknik] Teknik Industri
44,37,1-2,47-5081.00,Helpers--Extraction Workers,[Teknik] Teknik Mesin
44,37,3,17-3026.00,Industrial Engineering Technologists and Technicians,[Teknik] Teknik Industri
44,37,1-2,53-7051.00,Industrial Truck and Tractor Operators,[Keselamatan & Transportasi] Transportasi / Logistik
44,37,1-2,51-4192.00,"Layout Workers, Metal and Plastic",[Teknik] Teknik Industri
44,37,3,51-4061.00,"Model Makers, Metal and Plastic",[Teknik] Teknik Industri
44,37,3,31-9097.00,Phlebotomists,[Kesehatan] Kedokteran
44,37,4,27-2012.00,Producers and Directors,[Seni & Kreatif] Seni Rupa
44,37,1-2,31-1133.00,Psychiatric Aides,[Kesehatan] Kedokteran
44,37,4,11-3013.01,Security Managers,[Bisnis & Administrasi] Bisnis / Manajemen
44,36,3,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",[Keselamatan & Transportasi] Kelautan
44,36,1-2,53-3033.00,Light Truck Drivers,[Keselamatan & Transportasi] Transportasi / Logistik
44,36,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",[Teknik] Teknik Industri
44,36,1-2,47-2142.00,Paperhangers,[Teknik] Teknik Mesin
44,36,1-2,31-9095.00,Pharmacy Aides,[Kesehatan] Farmasi
44,36,1-2,27-2023.00,"Umpires, Referees, and Other Sports Officials",[Seni & Kreatif] Seni Rupa
44,36,1-2,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",[Bisnis & Administrasi] Administrasi
44,34,1-2,49-3022.00,Automotive Glass Installers and Repairers,[Teknik] Teknik Mesin
44,34,1-2,33-3012.00,Correctional Officers and Jailers,[Keselamatan & Transportasi] Kepolisian
44,34,1-2,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",[Seni & Kreatif] Tata Boga
44,34,1-2,49-9096.00,Riggers,[Teknik] Teknik Mesin
44,34,1-2,47-5043.00,"Roof Bolters, Mining",[Teknik] Teknik Mesin
44,34,1-2,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",[Teknik] Teknik Industri
44,34,1-2,43-5071.00,"Shipping, Receiving, and Inventory Clerks",[Keselamatan & Transportasi] Kelautan
44,34,1-2,37-3013.00,Tree Trimmers and Pruners,[Teknik] Teknik Sipil
44,32,1-2,47-2051.00,Cement Masons and Concrete Finishers,[Teknik] Teknik Sipil
44,32,1-2,41-9011.00,Demonstrators and Product Promoters,[Bisnis & Administrasi] Bisnis / Manajemen
44,32,1-2,51-6011.00,Laundry and Dry-Cleaning Workers,[Teknik] Teknik Industri
44,32,1-2,39-5092.00,Manicurists and Pedicurists,[Seni & Kreatif] Make Up Artist
44,32,1-2,51-6042.00,Shoe Machine Operators and Tenders,[Teknik] Teknik Industri
44,32,1-2,49-3093.00,Tire Repairers and Changers,[Teknik] Teknik Mesin
44,30,1-2,47-3016.00,Helpers--Roofers,[Teknik] Teknik Sipil
41,43,3,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",[Bisnis & Administrasi] Bisnis / Manajemen
41,41,3,17-3027.01,Automotive Engineering Technicians,[Teknik] Teknik Mesin
41,41,1-2,47-2031.00,Carpenters,[Teknik] Teknik Sipil
41,41,1-2,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",[Teknik] Teknik Industri
41,41,3,47-4011.01,Energy Auditors,[Teknik] Teknik Mesin
41,41,5,19-1029.03,Geneticists,[Kesehatan] Laboratorium
41,41,5,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",[Kesehatan] Laboratorium
41,41,3,29-2099.01,Neurodiagnostic Technologists,[Kesehatan] Kedokteran
41,39,5,29-1229.01,Allergists and Immunologists,[Kesehatan] Kedokteran
41,39,5,19-1011.00,Animal Scientists,[Kesehatan] Laboratorium
41,39,1-2,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,[Seni & Kreatif] Tata Boga
41,39,1-2,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",[Teknik] Teknik Sipil
41,39,3,51-7031.00,"Model Makers, Wood",[Teknik] Teknik Industri
41,39,5,29-2091.00,Orthotists and Prosthetists,[Kesehatan] Kedokteran
41,39,1-2,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",[Teknik] Teknik Industri
41,39,4,17-2171.00,Petroleum Engineers,[Teknik] Teknik Industri
41,39,3,51-8012.00,Power Distributors and Dispatchers,[Teknik] Teknik Industri
41,39,3,41-9022.00,Real Estate Sales Agents,[Bisnis & Administrasi] Bisnis / Manajemen
41,39,1-2,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",[Keselamatan & Transportasi] Penerbangan
41,37,1-2,45-2091.00,Agricultural Equipment Operators,[Teknik] Teknik Industri
41,37,5,25-4011.00,Archivists,[Sosial & Humaniora] Pendidikan / Mengajar
41,37,1-2,35-3011.00,Bartenders,[Seni & Kreatif] Tata Boga
41,37,5,19-1029.01,Bioinformatics Scientists,[Kesehatan] Laboratorium
41,37,4,13-1021.00,"Buyers and Purchasing Agents, Farm Products",[Bisnis & Administrasi] Bisnis / Manajemen
41,37,4,17-2051.00,Civil Engineers,[Teknik] Teknik Sipil
41,37,1-2,51-9031.00,"Cutters and Trimmers, Hand",[Teknik] Teknik Industri
41,37,4,27-3041.00,Editors,[Seni & Kreatif] Seni Rupa
41,37,3,17-3012.00,Electrical and Electronics Drafters,[Teknik] Teknik Elektro
41,37,4,19-2041.00,"Environmental Scientists and Specialists, Including Health",[Kesehatan] Laboratorium
41,37,1-2,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",[Keselamatan & Transportasi] Kelautan
41,37,3,33-2022.00,Forest Fire Inspectors and Prevention Specialists,[Keselamatan & Transportasi] Pemadam Kebakaran
41,37,4,17-1022.01,Geodetic Surveyors,[Teknik] Teknik Industri
41,37,1-2,47-4051.00,Highway Maintenance Workers,[Teknik] Teknik Sipil
41,37,5,19-2043.00,Hydrologists,[Kesehatan] Laboratorium
41,37,4,13-1081.01,Logistics Engineers,[Bisnis & Administrasi] Bisnis / Manajemen
41,37,1-2,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",[Teknik] Teknik Industri
41,37,4,17-2161.00,Nuclear Engineers,[Teknik] Teknik Mesin
41,37,1-2,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",[Teknik] Teknik Industri
41,37,1-2,47-5071.00,"Roustabouts, Oil and Gas",[Teknik] Teknik Mesin
41,37,1-2,51-2092.00,Team Assemblers,[Teknik] Teknik Industri
41,36,4,25-2032.00,"Career/Technical Education Teachers, Secondary School",[Sosial & Humaniora] Pendidikan / Mengajar
41,36,1-2,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",[Teknik] Teknik Industri
41,36,1-2,53-3032.00,Heavy and Tractor-Trailer Truck Drivers,[Keselamatan & Transportasi] Transportasi / Logistik
41,36,1-2,47-2132.00,"Insulation Workers, Mechanical",[Teknik] Teknik Sipil
41,36,1-2,51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",[Teknik] Teknik Industri
41,36,3,29-2034.00,Radiologic Technologists and Technicians,[Kesehatan] Kedokteran
41,36,1-2,49-9045.00,"Refractory Materials Repairers, Except Brickmasons",[Teknik] Teknik Mesin
41,36,4,13-1199.07,Security Management Specialists,[Bisnis & Administrasi] Bisnis / Manajemen
41,36,4,53-6051.00,Transportation Inspectors,[Keselamatan & Transportasi] Transportasi / Logistik
41,36,3,15-1254.00,Web Developers,[Teknologi Informasi] Informatika / Ilmu Komputer
41,36,1-2,51-4121.00,"Welders, Cutters, Solderers, and Brazers",[Teknik] Teknik Industri
41,36,1-2,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",[Teknik] Teknik Industri
41,34,1-2,35-3023.01,Baristas,[Seni & Kreatif] Tata Boga
41,34,3,17-3022.00,Civil Engineering Technologists and Technicians,[Teknik] Teknik Sipil
41,34,4,13-1041.00,Compliance Officers,[Bisnis & Administrasi] Bisnis / Manajemen
41,34,4,15-1299.05,Information Security Engineers,[Teknologi Informasi] Informatika / Ilmu Komputer
41,34,4,11-9199.08,Loss Prevention Managers,[Bisnis & Administrasi] Bisnis / Manajemen
41,34,1-2,43-9071.00,"Office Machine Operators, Except Computer",[Bisnis & Administrasi] Administrasi
41,34,3,49-9064.00,Watch and Clock Repairers,[Teknik] Teknik Mesin
41,32,1-2,53-3031.00,Driver/Sales Workers,[Keselamatan & Transportasi] Transportasi / Logistik
41,32,5,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",[Kesehatan] Kedokteran
41,32,1-2,53-7065.00,Stockers and Order Fillers,[Keselamatan & Transportasi] Transportasi / Logistik
41,32,4,17-2051.01,Transportation Engineers,[Teknik] Teknik Sipil
41,30,1-2,49-3091.00,Bicycle Repairers,[Teknik] Teknik Mesin
41,30,4,27-2022.00,Coaches and Scouts,[Seni & Kreatif] Seni Rupa
41,30,4,25-2021.00,"Elementary School Teachers, Except Special Education",[Sosial & Humaniora] Pendidikan / Mengajar
41,30,1-2,51-3093.00,Food Cooking Machine Operators and Tenders,[Seni & Kreatif] Tata Boga
41,30,1-2,39-3011.00,Gambling Dealers,[Bisnis & Administrasi] Bisnis / Manajemen
41,29,1-2,39-1013.00,First-Line Supervisors of Gambling Services Workers,[Bisnis & Administrasi] Bisnis / Manajemen
41,27,1-2,37-2012.00,Maids and Housekeeping Cleaners,[Teknik] Teknik Sipil
41,27,1-2,53-6061.00,Passenger Attendants,[Keselamatan & Transportasi] Transportasi / Logistik
38,41,4,15-1231.00,Computer Network Support Specialists,[Teknologi Informasi] Informatika / Ilmu Komputer
38,41,5,29-1221.00,"Pediatricians, General",[Kesehatan] Kedokteran
38,39,5,29-9091.00,Athletic Trainers,[Kesehatan] Kedokteran
38,39,4,17-2061.00,Computer Hardware Engineers,[Teknik] Teknik Industri
38,39,1-2,33-1012.00,First-Line Supervisors of Police and Detectives,[Keselamatan & Transportasi] Kepolisian
38,39,1-2,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,[Teknik] Teknik Mesin
38,37,4,41-3011.00,Advertising Sales Agents,[Bisnis & Administrasi] Bisnis / Manajemen
38,37,1-2,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",[Teknik] Teknik Industri
38,37,1-2,47-2081.00,Drywall and Ceiling Tile Installers,[Teknik] Teknik Mesin
38,37,1-2,53-2031.00,Flight Attendants,[Keselamatan & Transportasi] Transportasi / Logistik
38,37,1-2,47-2043.00,Floor Sanders and Finishers,[Teknik] Teknik Mesin
38,37,3,29-2092.00,Hearing Aid Specialists,[Kesehatan] Kedokteran
38,37,5,29-1023.00,Orthodontists,[Kesehatan] Kedokteran
38,37,1-2,51-9111.00,Packaging and Filling Machine Operators and Tenders,[Teknik] Teknik Industri
38,37,4,19-2099.01,Remote Sensing Scientists and Technologists,[Kesehatan] Laboratorium
38,36,4,13-2023.00,Appraisers and Assessors of Real Estate,[Bisnis & Administrasi] Bisnis / Manajemen
38,36,3,33-3021.00,Detectives and Criminal Investigators,[Keselamatan & Transportasi] Kepolisian
38,36,5,25-1032.00,"Engineering Teachers, Postsecondary",[Sosial & Humaniora] Pendidikan / Mengajar
38,36,4,17-2081.00,Environmental Engineers,[Teknik] Teknik Industri
38,36,5,19-1041.00,Epidemiologists,[Kesehatan] Laboratorium
38,36,1-2,41-1011.00,First-Line Supervisors of Retail Sales Workers,[Bisnis & Administrasi] Bisnis / Manajemen
38,36,3,11-9171.00,Funeral Home Managers,[Kesehatan] Kedokteran
38,36,4,29-2036.00,Medical Dosimetrists,[Kesehatan] Kedokteran
38,36,4,41-9031.00,Sales Engineers,[Bisnis & Administrasi] Bisnis / Manajemen
38,36,1-2,47-2211.00,Sheet Metal Workers,[Teknik] Teknik Sipil
38,36,1-2,53-3053.00,Shuttle Drivers and Chauffeurs,[Keselamatan & Transportasi] Transportasi / Logistik
38,34,3,39-5011.00,Barbers,[Seni & Kreatif] Make Up Artist
38,34,4,15-2099.01,Bioinformatics Technicians,[Teknologi Informasi] Informatika / Ilmu Komputer
38,34,1-2,39-9011.00,Childcare Workers,[Sosial & Humaniora] Pendidikan / Mengajar
38,34,4,15-1211.00,Computer Systems Analysts,[Teknologi Informasi] Informatika / Ilmu Komputer
38,34,3,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,[Keselamatan & Transportasi] Transportasi / Logistik
38,34,1-2,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",[Teknik] Teknik Industri
38,34,1-2,47-3012.00,Helpers--Carpenters,[Teknik] Teknik Sipil
38,34,1-2,51-9198.00,Helpers--Production Workers,[Teknik] Teknik Industri
38,34,1-2,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",[Keselamatan & Transportasi] Transportasi / Logistik
38,34,5,29-1229.04,Physical Medicine and Rehabilitation Physicians,[Kesehatan] Kedokteran
38,34,1-2,11-9131.00,Postmasters and Mail Superintendents,[Bisnis & Administrasi] Bisnis / Manajemen
38,34,1-2,47-2181.00,Roofers,[Teknik] Teknik Sipil
38,34,1-2,47-4091.00,Segmental Pavers,[Teknik] Teknik Mesin
38,34,3,27-4014.00,Sound Engineering Technicians,[Seni & Kreatif] Multimedia / Film
38,34,3,31-9099.01,Speech-Language Pathology Assistants,[Kesehatan] Laboratorium
38,34,4,17-2112.02,Validation Engineers,[Teknik] Teknik Industri
38,32,1-2,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",[Teknik] Teknik Industri
38,32,1-2,53-7031.00,Dredge Operators,[Keselamatan & Transportasi] Transportasi / Logistik
38,32,1-2,43-5011.01,Freight Forwarders,[Bisnis & Administrasi] Administrasi
38,32,5,23-1012.00,Judicial Law Clerks,[Sosial & Humaniora] Hukum
